posicao,codigo_ibge,municipio,unidade_federativa,populacao,is_capital
3249,2928950,São Domingos,Bahia,9058,FALSE
3250,4125209,São Jorge d'Oeste,Paraná,9050,FALSE
3251,5000807,Anaurilândia,Mato Grosso do Sul,9035,FALSE
3252,3152709,Prados,Minas Gerais,9031,FALSE
3253,4304903,Casca,Rio Grande do Sul,9031,FALSE
3254,1720804,Sítio Novo do Tocantins,Tocantins,9029,FALSE
3255,2923506,Palmeiras,Bahia,9019,FALSE
3256,4207650,Iporã do Oeste,Santa Catarina,8996,FALSE
3257,2501401,Baía da Traição,Paraíba,8993,FALSE
3258,2602407,Brejão,Pernambuco,8993,FALSE
3259,2208650,Queimada Nova,Piauí,8992,FALSE
3260,2925931,Quixabeira,Bahia,8972,FALSE
3261,5000906,Antônio João,Mato Grosso do Sul,8956,FALSE
3262,2906899,Caraíbas,Bahia,8951,FALSE
3263,3155405,Rio Novo,Minas Gerais,8949,FALSE
3264,3159209,Santa Rita de Caldas,Minas Gerais,8949,FALSE
3265,3536604,Paulo de Faria,São Paulo,8945,FALSE
3266,2928307,Santanópolis,Bahia,8943,FALSE
3267,5211404,Itauçu,Goiás,8938,FALSE
3268,3532504,Neves Paulista,São Paulo,8930,FALSE
3269,3514007,Dobrada,São Paulo,8929,FALSE
3270,3549508,São José da Bela Vista,São Paulo,8928,FALSE
3271,3128402,Guarani,Minas Gerais,8911,FALSE
3272,2807204,Siriri,Sergipe,8893,FALSE
3273,3118908,Cordisburgo,Minas Gerais,8890,FALSE
3274,3202553,Ibitirama,Espírito Santo,8889,FALSE
3275,5212709,Mambaí,Goiás,8882,FALSE
3276,2105948,Lago dos Rodrigues,Maranhão,8873,FALSE
3277,3116803,Coluna,Minas Gerais,8873,FALSE
3278,3514304,Dourado,São Paulo,8873,FALSE
3279,3143500,Morada Nova de Minas,Minas Gerais,8863,FALSE
3280,1707702,Filadélfia,Tocantins,8856,FALSE
3281,4126009,São Sebastião da Amoreira,Paraná,8853,FALSE
3282,5203401,Bom Jardim de Goiás,Goiás,8841,FALSE
3283,2933174,Varzedo,Bahia,8838,FALSE
3284,4114906,Marilândia do Sul,Paraná,8836,FALSE
3285,2902302,Aratuípe,Bahia,8825,FALSE
3286,4212254,Passo de Torres,Santa Catarina,8823,FALSE
3287,4106001,Congonhinhas,Paraná,8818,FALSE
3288,3546900,Santa Lúcia,São Paulo,8817,FALSE
3289,3556909,Vista Alegre do Alto,São Paulo,8810,FALSE
3290,2804458,Nossa Senhora Aparecida,Sergipe,8796,FALSE
3291,5105002,Jauru,Mato Grosso,8793,FALSE
3292,4215679,Santa Terezinha,Santa Catarina,8787,FALSE
3293,2208700,Redenção do Gurgueia,Piauí,8778,FALSE
3294,4305009,Catuípe,Rio Grande do Sul,8774,FALSE
3295,5200050,Abadia de Goiás,Goiás,8773,FALSE
3296,4127882,Tunas do Paraná,Paraná,8769,FALSE
3297,2916203,Itapé,Bahia,8761,FALSE
3298,5219407,Santa Rita do Araguaia,Goiás,8756,FALSE
3299,4107256,Douradina,Paraná,8747,FALSE
3300,5219704,Santa Terezinha de Goiás,Goiás,8744,FALSE
3301,5222054,Vicentinópolis,Goiás,8743,FALSE
3302,2900108,Abaíra,Bahia,8739,FALSE
3303,4108957,Guamiranga,Paraná,8739,FALSE
3304,5102850,Castanheira,Mato Grosso,8729,FALSE
3305,2407401,Martins,Rio Grande do Norte,8725,FALSE
3306,2308807,Moraújo,Ceará,8724,FALSE
3307,4319802,São Vicente do Sul,Rio Grande do Sul,8721,FALSE
3308,3166709,Serra dos Aimorés,Minas Gerais,8699,FALSE
3309,2206803,Nossa Senhora dos Remédios,Piauí,8692,FALSE
3310,3142601,Monsenhor Paulo,Minas Gerais,8688,FALSE
3311,4217907,Tangará,Santa Catarina,8676,FALSE
3312,3158904,Santana do Manhuaçu,Minas Gerais,8674,FALSE
3313,3171709,Virgínia,Minas Gerais,8674,FALSE
3314,4201505,Armazém,Santa Catarina,8674,FALSE
3315,2103125,Central do Maranhão,Maranhão,8673,FALSE
3316,3537503,Pereiras,São Paulo,8668,FALSE
3317,3150505,Pimenta,Minas Gerais,8660,FALSE
3318,5200803,Alvorada do Norte,Goiás,8660,FALSE
3319,2921450,Mirante,Bahia,8641,FALSE
3320,5108907,Nova Maringá,Mato Grosso,8641,FALSE
3321,3204658,São Domingos do Norte,Espírito Santo,8638,FALSE
3322,2912806,Ibirapuã,Bahia,8637,FALSE
3323,3112802,Capitólio,Minas Gerais,8632,FALSE
3324,3513207,Cristais Paulista,São Paulo,8631,FALSE
3325,3511904,Clementina,São Paulo,8617,FALSE
3326,2909000,Cordeiros,Bahia,8614,FALSE
3327,3144508,Nazareno,Minas Gerais,8608,FALSE
3328,5205455,Cezarina,Goiás,8606,FALSE
3329,5213509,Monte Alegre de Goiás,Goiás,8606,FALSE
3330,3157336,Santa Cruz de Minas,Minas Gerais,8604,FALSE
3331,3152907,Pratápolis,Minas Gerais,8603,FALSE
3332,3151008,Piranguinho,Minas Gerais,8596,FALSE
3333,2313252,Tarrafas,Ceará,8592,FALSE
3334,3140555,Mata Verde,Minas Gerais,8586,FALSE
3335,2206720,Nazária,Piauí,8570,FALSE
3336,4103503,Califórnia,Paraná,8570,FALSE
3337,3150158,Piedade de Caratinga,Minas Gerais,8566,FALSE
3338,4127908,Tuneiras do Oeste,Paraná,8566,FALSE
3339,2923308,Ouriçangas,Bahia,8564,FALSE
3340,5101605,Barão de Melgaço,Mato Grosso,8564,FALSE
3341,2919058,Lagedo do Tabocal,Bahia,8562,FALSE
3342,3534807,Ouro Verde,São Paulo,8562,FALSE
3343,4123709,Santa Isabel do Ivaí,Paraná,8562,FALSE
3344,3300951,Comendador Levy Gasparian,Rio de Janeiro,8561,FALSE
3345,3503406,Arealva,São Paulo,8560,FALSE
3346,4311155,Jóia,Rio Grande do Sul,8560,FALSE
3347,2509057,Marcação,Paraíba,8558,FALSE
3348,2603603,Camutanga,Pernambuco,8551,FALSE
3349,2204907,Isaías Coelho,Piauí,8549,FALSE
3350,1504109,Magalhães Barata,Pará,8548,FALSE
3351,5220504,Serranópolis,Goiás,8544,FALSE
3352,2205557,Lagoa Alegre,Piauí,8542,FALSE
3353,1100502,Novo Horizonte do Oeste,Rondônia,8538,FALSE
3354,2914307,Iramaia,Bahia,8537,FALSE
3355,2512804,Riacho dos Cavalos,Paraíba,8526,FALSE
3356,4203501,Campo Erê,Santa Catarina,8526,FALSE
3357,2112001,Tasso Fragoso,Maranhão,8521,FALSE
3358,4128559,Vera Cruz do Oeste,Paraná,8521,FALSE
3359,2802700,Ilha das Flores,Sergipe,8520,FALSE
3360,3102852,Angelândia,Minas Gerais,8520,FALSE
3361,2921609,Morpará,Bahia,8519,FALSE
3362,1702000,Araguaçu,Tocantins,8517,FALSE
